번호,카페명,업종,플랫폼,별점,별점유형,감성,테마,리뷰내용,작성일,작성자
75,브레드이발소 키즈카페,캐릭터 키즈카페,네이버지도,5,추정,긍정,주차·접근성,깨끗하고 주차도 편해요. 영아부터 유아까지 모두 재밌게 놀 수 있을 듯,2026-05-30,방문자
76,브레드이발소 키즈카페,캐릭터 키즈카페,네이버지도,5,추정,긍정,공간·인테리어·뷰,"브레드이발소 테마로 꾸며져 입구부터 아이가 좋아함. 넓고 쾌적, 포토존, 캐릭터 사진타임. 주차 편하고 직원 친절",2026-02-10,방문자
77,브레드이발소 키즈카페,캐릭터 키즈카페,카카오맵,5,실측,긍정,청결·위생,깔끔합니다,2026-04-28,카카오이용자
78,키키 키즈카페,키즈카페,네이버지도,5,추정,긍정,놀거리·시설,"마음껏 뛰어놀 공간, 시설 깨끗, 놀이기구 다양. 직원 친절, 안전하게 관리되어 부모도 편함. 아이가 집에 가기 싫다고 할 정도",2026-06-29,방문자
79,키키 키즈카페,키즈카페,네이버지도,4,추정,긍정,놀거리·시설,아이들이 늘 가자고 하는 곳. 작은 운동기구도 있고 아기자기,2026-06-27,방문자
80,키키 키즈카페,키즈카페,네이버지도,4,추정,긍정,맛·메뉴,기차가 있어 아이가 좋아함. 음식도 맛있는 편이고 놀거리가 많아요,2026-06-27,방문자
81,키키 키즈카페,키즈카페,네이버지도,5,추정,긍정,맛·메뉴,"매시 정각 기차, 없는 게 없는 놀이기구로 제일 알차서 3년째 다님. 무엇보다 맛집. 짜장떡볶이 강추",2026-06-22,방문자
82,키키 키즈카페,키즈카페,네이버지도,5,추정,긍정,청결·위생,직원분들이 수시로 청소하고 놀거리도 많음. 다른 곳과 다르게 커피도 맛나요,2026-06-14,방문자
83,키키 키즈카페,키즈카페,네이버지도,5,추정,긍정,맛·메뉴,"핫도그랑 돈까스 시켜먹었는데 맛있었어요, 특히 핫도그",2026-06-21,방문자
84,키키 키즈카페,키즈카페,네이버지도,5,추정,긍정,청결·위생,"깨끗하고 쾌적. 기차도 있어 아이가 좋아하고 직원 친절, 엄마는 잠시 쉴 수 있어 만족",2026-06-25,방문자
85,키키 키즈카페,키즈카페,네이버지도,5,추정,긍정,놀거리·시설,아이들 데리고 늘 오는 곳. 깨끗하고 놀기 좋아요. 이 주변에서는 여기가 최고,2026-06-05,방문자
86,키키 키즈카페,키즈카페,인스타그램,4,추정,긍정,놀거리·시설,"파주운정 아이와 가볼 만한 곳, 키키 키즈카페 #파주키즈카페 #운정키즈카페",2026-06,hongzzanghong
87,키키 키즈카페,키즈카페,인스타그램,4,추정,긍정,놀거리·시설,엄마랑 둘이서 키카. 청소도 쓱싹쓱싹 하며 신나게 놀았어요,2026-06,s2__.yoon
88,키키 키즈카페,키즈카페,카카오맵,4,실측,긍정,가격·가성비,입장료가 주변 다른 키즈카페에 비해 비싼 편. 기차가 있고 좀 더 다양하게 꾸며놓아 종종 옴,2023-04-23,카카오이용자
89,키키 키즈카페,키즈카페,카카오맵,5,실측,긍정,청결·위생,방문자 인원 대비 여유로워서 좋았고 깔끔하게 아이들과 잘 놀았음,2023-03-05,카카오이용자
90,키키 키즈카페,키즈카페,카카오맵,2,실측,부정,가격·가성비,"두 번은 안 올 것 같아요. 비싸기도 하고 특히 음식이 비쌈. 홍익돈까스 왕만한 게 12,000원",2024-02-09,카카오이용자
91,키키 키즈카페,키즈카페,카카오맵,5,실측,긍정,주차·접근성,"기차 있어서 좋아요, 주차 무료",2022-02-16,카카오이용자
92,키키 키즈카페,키즈카페,카카오맵,5,실측,긍정,청결·위생,깔끔해요,2019-02-10,카카오이용자
93,퍼플주니어 키즈카페,키즈카페,네이버지도,5,추정,긍정,가격·가성비,주말 이용금액·추가요금이 비싸지 않아 가성비 최고. 아메리카노·짜파게티·크림파스타 다 맛있었어요,2026-05-09,방문자
94,퍼플주니어 키즈카페,키즈카페,네이버지도,5,추정,긍정,놀거리·시설,시설이 깔끔하고 안전하게 관리. 다양한 놀이공간으로 아이가 지루해하지 않고 직원 친절,2026-06-15,방문자
95,퍼플주니어 키즈카페,키즈카페,네이버지도,5,추정,긍정,청결·위생,깨끗하고 넓어요. 미끄럼방지양말도 팔고 식당 좌석도 넓어 부모 쉬기 좋음. 또 갈 의사 200%,2026-05-30,방문자
96,퍼플주니어 키즈카페,키즈카페,네이버지도,4,추정,긍정,가격·가성비,테마 다양하고 가격도 합리적. 어른용 오락실도 있고 쉬는 곳 넓고 깨끗,2026-06-15,방문자
97,퍼플주니어 키즈카페,키즈카페,네이버지도,5,추정,긍정,가격·가성비,즐길거리 많은 가성비 키즈카페. 매점 메뉴 다양하고 카페처럼 이쁘고 편안한 공간,2026-05-23,방문자
98,퍼플주니어 키즈카페,키즈카페,네이버지도,4,추정,긍정,주차·접근성,"주말에도 쾌적. 주차장 넓음(주차요금 발생, 보호자 1인 무료입장). 입장 시 게임 코인도 줌",2026-06-15,방문자
99,퍼플주니어 키즈카페,키즈카페,네이버지도,4,추정,긍정,놀거리·시설,놀거리가 빠지는 것 없이 많고 회전그네·통돌이 등 큰 아이도 놀 것 많음,2026-05-25,방문자
100,퍼플주니어 키즈카페,키즈카페,네이버지도,4,추정,긍정,공간·인테리어·뷰,건물 한 층을 다 써서 아이들 분산이 잘 됨. 식당 뷰가 시원하고 좋았음,2026-06-15,방문자
101,퍼플주니어 키즈카페,키즈카페,카카오맵,3,실측,중립,주차·접근성,"애들이 재밌게 잘 놀고 깔끔. 다만 식사 자리를 한 사람이 여러 테이블 잡아 자리 부족, 직원은 딱히 신경 안 씀. 최악은 주차료",2026-03-04,카카오이용자
102,퍼플주니어 키즈카페,키즈카페,카카오맵,1,실측,부정,주차·접근성,다 좋은데 주차료 때문에 가성비가 나쁨. 주차 해결 안 되면 올 생각 없음,2025-06-06,카카오이용자
103,퍼플주니어 키즈카페,키즈카페,카카오맵,5,실측,긍정,주차·접근성,여기 괜찮아요. 주차 문제는 건물주 갑질이라 사장님이 해결하긴 어려워 보임,2025-02-28,카카오이용자
104,퍼플주니어 키즈카페,키즈카페,카카오맵,5,실측,긍정,맛·메뉴,리뷰가 안 좋아서 걱정했는데 따뜻하고 음식도 맛있고 넓고 쾌적했습니다,2025-01-22,카카오이용자
105,퍼플주니어 키즈카페,키즈카페,카카오맵,1,실측,부정,서비스·응대,키즈카페가 너무 춥고 알바생들은 항상 불친절하네요,2023-12-24,카카오이용자
106,퍼플주니어 키즈카페,키즈카페,카카오맵,4,실측,긍정,주차·접근성,"아이들이 좋아해서 만족, 코인 게임도 재미. 다만 주차비는 정말 이해하기 힘들 만큼 비쌈. 꼭 해결해야 할 문제",2023-11-07,카카오이용자
107,퍼플주니어 키즈카페,키즈카페,카카오맵,1,실측,부정,서비스·응대,최악의 키즈카페. 요구사항이 내규에 안 맞으면 안내·소통 대신 눈을 부라리며 윽박지름. 관리자부터 알바까지 기본 인성 문제,2023-10-03,카카오이용자
